Site_ID,Site,Cluster_3,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin
SITE_0069,Rodostitsa Fortress,1,5.732100234270000,3.445149362740000,0.000570743919051,9,3
SITE_0070,Villa Armira,1,4.774061576940000,2.526175798130000,0.011531176319300,9,2
SITE_0071,Castra Rubra,1,5.290171398600000,2.564333334110000,0.010337421296600,9,2
SITE_0072,Kapitan Petko Voyvoda mound I,1,6.144426890660000,1.433639319090000,0.151675216915000,9,0
SITE_0073,Sanctuary of Nymphs and Aphrodite,1,6.478049319630000,4.221018446980000,0.000024320103140,9,3
SITE_0074,Fortress Klokotnitsa,1,5.701695348680000,4.221018446980000,0.000024320103140,9,3
SITE_0075,Fortified ruling house,1,4.710076521490000,1.433639319090000,0.151675216915000,9,0
SITE_0076,Dolmen Mangura,2,5.529738028920000,1.644937806560000,0.099982637364000,9,1
SITE_0077,Dolmen Starite Loza,2,5.529738028920000,1.644937806560000,0.099982637364000,9,1
SITE_0078,Hambar Kaya II,3,6.363027094990000,2.764082874470000,0.005708303916100,9,3
SITE_0079,Deaf Stones Church,2,6.514719747400000,3.842016642700000,0.000122027559791,9,3
SITE_0080,Bukelon Fortress,1,5.622017644800000,1.750351061230000,0.080057755089300,9,1
SITE_0081,Matochina Rock Church,1,5.948893353180000,1.609088326680000,0.107597029378000,9,0
SITE_0082,Merichleri mound I,1,7.272230500320000,4.315591493830000,0.000015917610486,9,3
SITE_0083,Merichleri mound II,1,7.272230500320000,4.315591493830000,0.000015917610486,9,3
SITE_0084,Merichleri mound III,1,7.272230500320000,4.315591493830000,0.000015917610486,9,3
SITE_0085,Mezek Tumulus,1,6.308160775310000,3.528633820470000,0.000417710691114,9,3
SITE_0086,Neutzikon Fortress,1,5.609563560950000,3.528633820470000,0.000417710691114,9,3
SITE_0087,Mihalich Rock Church,3,4.883870291750000,2.062479627410000,0.039162095190500,9,2
SITE_0088,Dolmen Bayamluka,1,5.204931095980000,2.242635007160000,0.024920360864000,9,2
SITE_0089,Orlovo Town,1,5.361773495520000,3.301958295570000,0.000960123443485,9,3
SITE_0090,Dolmen Kapakliyka II,1,5.381119064490000,2.169234929400000,0.030064852552900,9,2
SITE_0091,Mehir Stone Chuchul,1,5.968830983080000,2.370916323720000,0.017744047714900,9,2
SITE_0092,Ak Kaya,3,6.343972573860000,2.738444056270000,0.006173066200620,9,3
SITE_0093,Kara inn,3,6.343972573860000,2.738444056270000,0.006173066200620,9,3
SITE_0094,Dolmen Plevun,1,5.733495001510000,2.474206668980000,0.013353242580900,9,2
SITE_0095,Kovan Kaya niches II,2,5.684674035350000,2.540061567980000,0.011083295631600,9,2
SITE_0096,Efraim Fortress,3,6.576204340420000,2.809241479410000,0.004965838368400,9,3
SITE_0097,Dolmen Bakalov kladenets,1,5.204931095980000,1.342683172200000,0.179374585894000,9,0
SITE_0098,Dolmen Byalata treva,1,5.876699195340000,2.242362882020000,0.024937928703400,9,2
SITE_0099,Dolmen Kapakliyka I,1,5.452721161410000,1.898548657040000,0.057623844514200,9,1
SITE_0100,Dolmen Kliftinova niva,1,5.700511226840000,1.620902742420000,0.105038498620000,9,0
SITE_0101,Dolmen Paskalevi kelemeta,1,5.452721161410000,1.342683172200000,0.179374585894000,9,0
SITE_0102,Dolmen Sakartsi,2,3.825902217250000,1.342683172200000,0.179374585894000,9,0
SITE_0103,Burdenis Fortress,1,5.721766474010000,2.930196997020000,0.003387471777600,9,3
SITE_0104,Svilengrad mound necropolis,1,6.688821274320000,3.304985395010000,0.000949813493213,9,3
SITE_0105,Svirachi Golyamata Mogila,1,5.968238922150000,2.526175798130000,0.011531176319300,9,2
SITE_0106,Paleokastro Fortress,2,4.666058105410000,1.628282485450000,0.103465001504000,9,0
SITE_0107,Paparimsko Kale,2,4.349162140700000,1.620902742420000,0.105038498620000,9,0
SITE_0108,Holy Trinity Monastery,1,6.053479224770000,1.433639319090000,0.151675216915000,9,0
SITE_0109,Orlovi Skali,3,5.112875586310000,1.359409942210000,0.174016722371000,9,0
SITE_0110,Dupchen Kamak,1,4.537541473520000,1.170467307540000,0.241812983483000,9,0
SITE_0111,Hambar Dere Necropolis,1,5.452129100490000,1.854836615980000,0.063619561502300,9,1
